Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Cambodia,KHM,19.28210449,22.18662643,24.26277161,25.00942993,28.81097794,32.33904266,32.844944,30.77592659,48.62422562,55.25073624,53.58575439,65.3871994,68.28430939,71.30926514,72.69956207,71.56456757,75.22520447,77.97311401,91.59080505,112.5851059,110.01118469,119.6354599,109.52975464,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Cameroon,CMR,30.438097,29.82297325,31.79577446,38.56394196,42.25278473,43.10830688,44.52022934,50.30911255,54.58909225,51.14823914,50.03335571,58.33031845,56.96441269,57.22771454,71.61038208,58.38298035,57.99372482,56.7457695,58.32909393,56.79493713,66.17185211,72.56921387,71.97737885,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Canada,CAN,1988.15942383,2041.87512207,2134.84960938,2534.86474609,2896.19335938,3268.46850586,3755.60449219,4185.21777344,4451.32373047,4354.06298828,5062.48291016,5401.61523438,5520.62207031,5462.15673828,5212.00878906,4660.79833984,4649.12109375,4899.25390625,5062.38476563,5103.84130859,5649.16943359,6483.37695313,6255.02783203,6112.01953125,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Central African Republic,CAF,9.9123354,9.20995235,10.44132614,12.15000153,12.96809387,13.93517494,15.15495491,18.24629021,18.02888489,21.37773895,17.01008034,19.62990761,21.33021736,17.36794472,18.7120266,18.44194221,21.07796097,28.81619644,51.3541069,35.76098633,42.634758,46.24643707,47.91517639,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Chad,TCD,10.07452297,11.64042854,18.01737785,18.0202446,27.74994278,31.27608871,33.8651123,34.0423584,36.89921951,34.82435226,35.26005936,37.35868073,36.20247269,38.59413528,42.16276169,33.82092285,31.96038055,29.9935894,31.2043705,30.23999405,37.73088074,37.59156799,40.17007446,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Chile,CHL,353.25033569,323.63336182,319.53222656,346.1635437,422.96481323,495.56002808,565.8493042,643.05963135,719.07501221,730.63336182,861.72436523,984.4486084,1070.51293945,1171.77038574,1138.66113281,1122.13378906,1167.89306641,1353.69274902,1430.70263672,1348.99401855,1270.97814941,1576.69287109,1547.28967285,1714.8927002,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,China,CHN,42.80797577,44.36042023,49.92394638,56.54468155,64.28150177,73.00266266,82.48256683,98.5569458,133.83999634,164.87619019,188.87156677,239.19824219,284.69760132,329.08572388,362.28695679,393.09768677,398.17489624,439.94006348,504.10980225,538.99157715,582.95092773,670.25897217,672.45159912,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Colombia,COL,134.71453857,138.47569275,132.18363953,129.71965027,159.61109924,209.68319702,240.10488892,309.61691284,379.16812134,383.91674805,452.44281006,501.84420776,547.00732422,580.96453857,588.29449463,470.099823,448.84588623,497.54016113,519.82202148,503.53485107,464.9777832,561.11627197,505.50805664,534.43713379,..
