Country / Region,Disease,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Iceland,Measles,2,0,0,0,0,9,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
India,Measles,"18,530","65,150","40,967","5,700","5,604","10,430","19,474","12,032","17,250","30,168","26,530","8,285","3,305","33,634","31,458","56,188","44,258","41,144","64,185","36,711","55,443","47,147","40,044","51,780","38,835"
Indonesia,Measles,"6,328","18,063","7,704",394,524,"1,965","5,300","9,035","6,962","15,099","12,943","8,419","15,489","21,893","18,869","20,818","15,369","19,456","20,422","15,853","29,171","24,457","14,492","3,825","3,344"
Iran (Islamic Republic of),Measles,449,648,230,103,4,20,203,51,82,615,99,189,332,73,538,262,127,133,220,7,3,"11,644","9,554","9,582","11,874"
Iraq,Measles,"32,494","12,331",12,197,,"3,799",489,41,37,"1,433","1,317",669,15,15,492,"30,328","5,494",230,474,908,"9,081",,,"4,088",726
Ireland,Measles,207,4,2,0,15,65,76,25,43,4,33,51,107,285,443,164,57,64,87,95,334,584,243,241,
Israel,Measles,,,0,0,6,"1,139","3,177",42,8,80,6,50,211,70,23,5,931,539,9,2,116,124,2,19,36
Italy,Measles,"1,045",44,15,9,103,"1,623","2,682","4,042",,159,,,376,"5,189",372,351,"1,617",321,439,135,599,"10,982","9,385",,"1,457"
Jamaica,Measles,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
Japan,Measles,45,,,6,12,742,279,187,165,35,462,229,228,434,450,741,"11,015",,520,,"8,752","8,286","33,812","22,552","22,497"
Jordan,Measles,14,,457,,0,48,0,0,0,0,20,120,3,0,0,0,2,41,1,28,21,76,19,61,32
Kazakhstan,Measles,"28,147","15,111",4,2,"3,270","13,326",576,2,122,526,321,73,55,127,4,0,20,13,109,"16,118","2,204",24,18,94,245
Kenya,Measles,525,896,"1,774",266,597,439,822,63,128,95,354,190,,"2,395",95,"1,218","1,282","1,516","1,847",153,20,65,766,"11,304","21,002"
Kiribati,Measles,0,,,1,0,3,0,0,,,0,0,0,0,0,0,0,0,,0,0,,0,0,0
Kosovo (in accordance with UN Security Council resolution 1244 (1999)),Measles,1,1,0,,,,,,,,,,,,,,,,,,,,,,
Kuwait,Measles,7,6,7,3,,12,42,18,8,18,55,62,27,32,13,,,,,10,23,,,,6
Kyrgyzstan,Measles,"14,380","7,046",,3,,"2,380","1,007",5,0,"17,779",318,1,0,222,0,1,16,40,27,53,8,6,2,17,16
Lao People's Democratic Republic,Measles,1,2,0,2,138,"1,119",10,3,8,56,339,71,32,113,153,78,174,"1,678",58,295,"1,491","1,810","2,070",94,332
Latvia,Measles,0,1,0,0,0,3,25,0,0,0,36,0,3,1,0,0,3,0,7,2,0,,,1,0
Lebanon,Measles,74,346,,,15,"1,047",944,126,44,39,112,"1,761",9,9,12,22,24,373,956,618,213,526,36,8,5
Lesotho,Measles,2,17,3,368,39,464,7,0,0,0,0,516,179,172,"2,488",0,0,2,1,,31,1,0,217,660
Liberia,Measles,"1,053","4,604","8,300",250,884,"1,203","3,781",960,789,"1,060",34,0,43,279,"2,200",6,1,1,20,8,4,142,131,"1,379","5,977"
Libya,Measles,207,257,32,,,188,"1,082",8,32,82,372,,320,,,329,8,59,1,292,"2,771",,"3,890",633,
Lithuania,Measles,30,3,0,0,2,834,30,2,22,50,11,35,0,7,2,0,1,0,1,1,1,1,103,7,19
Luxembourg,Measles,3,0,0,0,0,24,4,4,0,0,,0,2,6,0,0,1,0,8,,0,1,,,0
Madagascar,Measles,104,355,80,44,777,"213,231","21,420",11,5,3,3,6,2,0,1,0,3,0,2,,"35,558","62,233","10,795","9,357","35,256"
Malawi,Measles,958,173,29,5,76,17,1,4,0,0,3,1,11,26,"118,712",21,20,143,1,184,"1,116",167,92,150,304
Malaysia,Measles,"3,791","2,002",209,128,478,"1,077","1,981","1,709","1,569","1,318",221,195,"1,868","1,569",73,153,334,394,564,"1,407","5,729",632,408,"2,198","6,187"
Maldives,Measles,2,5,0,0,15,0,1,1,0,0,0,0,0,0,0,6,0,20,47,"1,395",37,75,926,0,20
Mali,Measles,368,364,765,"2,074",498,454,499,26,107,215,290,221,341,24,"1,719","2,939",98,2,128,33,172,232,717,"4,464","1,578"
Malta,Measles,10,0,0,1,2,30,6,0,0,2,0,,,3,0,1,1,2,1,6,4,4,7,2,2
Marshall Islands,Measles,0,0,,0,,,,,,,,,0,0,0,0,,0,0,0,0,"1,127",0,0,0
Mauritania,Measles,"1,107",339,96,249,0,196,77,63,13,1,14,62,35,234,"1,292",322,4,11,22,127,"5,039","3,611",883,"1,398",
Mauritius,Measles,0,0,0,0,,98,,0,0,,0,0,0,2,12,15,12,13,3,7,28,777,,0,0
Mexico,Measles,7,0,0,0,196,0,5,0,0,0,3,0,0,3,0,0,0,0,23,6,64,44,0,3,30
Micronesia (Federated States of),Measles,,1,1,,,0,0,0,0,0,140,0,0,0,,0,,0,0,0,0,0,,0,0
Monaco,Measles,2,0,,0,,1,0,1,,,,,5,,,,,,,,,0,,,
Mongolia,Measles,12,0,46,,0,2,1,9,"30,273","20,359",0,0,0,0,7,8,31,12,26,0,0,18,"1,205","10,677",925
Montenegro,Measles,35,0,0,0,0,0,200,0,0,,,0,0,5,5,0,0,0,0,,,,,,
Montserrat,Measles,0,0,0,0,,0,0,0,,,,,,,,,,,,,,,0,0,
Morocco,Measles,,,,,,,483,,,17,10,92,668,982,633,834,"1,455","2,248","1,217",,"6,399","10,841","6,000","2,724","7,368"
Mozambique,Measles,"1,237",656,"1,047",619,426,63,16,122,,79,9,8,145,177,"2,321",60,4,267,183,"12,598","9,396","28,898","7,155","7,085","7,375"
Myanmar,Measles,30,15,10,8,444,"5,252","1,389","1,293",266,6,122,"1,010","2,175","2,046",190,329,333,"1,088",760,314,"1,329",830,736,"2,519",845
Namibia,Measles,15,42,31,4,5,12,9,16,40,212,477,"1,028",86,79,"3,138","4,076",0,21,3,4,4,262,"1,278",416,469
Nauru,Measles,0,,,,,0,,,0,,,,11,0,,0,0,0,0,0,0,,0,0,0
Nepal,Measles,113,963,130,143,388,430,260,99,"1,269","1,599","1,279","1,861","3,362","2,359",190,189,"2,089","1,415","2,838","5,023","12,074","13,344","6,749","10,849","9,397"
Netherlands (Kingdom of the),Measles,202,7,6,0,2,84,24,16,6,7,140,"2,632",10,51,15,15,109,10,1,4,11,4,3,,"1,019"
New Caledonia,Measles,0,0,0,,,,0,1,,,,0,0,0,0,0,0,0,,0,,0,,0,0
New Zealand,Measles,1,,0,0,7,"2,189",30,15,103,10,280,8,68,597,43,198,,25,20,20,33,66,21,65,65
Nicaragua,Measles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
