Country / Region,Disease,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
United Arab Emirates,Measles,559,484,98,35,50,187,172,121,223,347,344,,132,,87,,55,,,29,22,42,53,30,69
United Kingdom of Great Britain and Northern Ireland,Measles,"3,426",493,63,2,95,"1,092","1,216",364,558,91,133,"1,919","2,092","1,112",443,"1,212","1,445","1,022",764,79,189,460,314,73,104
United Republic of Tanzania,Measles,992,"2,887",612,0,127,120,74,852,33,30,88,185,"1,668","1,622",167,"1,574","3,413","7,726","2,362",23,"1,419","1,673","5,131","11,847","14,649"
United States of America,Measles,,121,,14,"1,275",,375,120,85,188,667,187,55,220,63,71,140,43,55,66,37,56,41,116,85
Uruguay,Measles,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uzbekistan,Measles,"20,940","1,176",7,0,"4,103","1,672",22,0,1,22,8,0,,476,117,0,2,863,823,737,75,85,25,22,80
Vanuatu,Measles,0,0,0,0,0,0,0,,,39,10,0,0,0,0,0,0,0,0,3,,165,101,7,9
Venezuela (Bolivarian Republic of),Measles,0,0,0,0,0,548,"5,667",727,0,0,0,0,1,0,0,0,0,32,78,0,0,0,"2,392",115,22
Viet Nam,Measles,"7,854",43,23,162,846,"14,156","2,256",227,46,256,"15,033","1,123",578,750,"2,809","6,582",352,17,"1,978",410,217,"2,297","6,755","12,058","16,512"
Wallis and Futuna,Measles,,,,,,,0,,,,,0,0,,,,,0,,,,0,,,0
Yemen,Measles,"5,992","49,755","23,941","4,904",298,"1,161","10,640",433,143,468,815,400,"2,177","2,676",510,130,7,13,"8,079","6,285","12,708","8,536",890,485,
Zambia,Measles,299,"5,653","1,755",55,237,15,11,13,8,9,9,35,896,"13,234","15,754",26,140,535,459,45,35,881,"25,036","16,997","30,930"
Zimbabwe,Measles,,"5,532","5,532",282,3,4,1,1,1,0,0,0,0,0,"9,696",853,0,242,212,420,31,998,304,529,"1,483"
