Country / Region,Disease,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Democratic Republic of the Congo,Measles,"1,001.30","2,944.50",42.8,549.4,857.3,"3,582.90",774,518,60.7,61.9,430,"1,166.10",983.3,"1,888.50",78.9,0.9,193.5,889.5,"1,321.80","3,104.80",788.3,396.7,566.8,154.8,164
Denmark,Measles,4.2,1.5,0,0,0.7,2.6,1.4,0.7,0.5,1.6,4.8,3,0.4,15.1,0.9,1.1,2.5,0.4,5,0.4,0,0,6,2.1,2.6
Djibouti,Measles,51.3,386.8,181.2,0,,,26.1,2.8,7.7,46.1,,28.4,733.4,51.7,7.5,52.7,160.2,27.4,57.3,355.1,85.9,45.5,62.8,102.4,244.9
Dominica,Measles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,Measles,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,13,29.5
Ecuador,Measles,0,0,0,0,0,0,1.1,0,0.1,0,0,0,4.6,16.8,0,0,0.1,0,0,0,0,0,0,0.2,0
Egypt,Measles,0.8,2.3,0.1,0,0,0,0.5,0.2,2.2,54.5,13.5,4.2,2.6,0.3,0.2,6.9,7.8,20,11.5,0.9,1,2.1,8.6,28.8,36
El Salvador,Measles,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0
Equatorial Guinea,Measles,244.6,146.1,27.2,24.4,30.9,0,0,0.6,"1,126.50",859.7,9.3,238.4,920,0,0,68.7,402,4.8,0,,42.2,21.2,30.1,"1,785.70",
Eritrea,Measles,2.8,15.6,8.2,7.5,3.6,1.9,21.9,380.6,45.4,63.8,41,14.6,63.9,16,17.3,28.4,0,20,47.3,7.1,9.2,150.8,192.2,88.2,351.1
Estonia,Measles,2.9,2.9,0,0,0,20.3,7.6,0.8,1.5,3,0,1.5,3,5.3,0,0,0,0.7,20,1.5,0,0,0,0,6.4
Eswatini,Measles,0,2.4,52.5,0,0,0,0,0,0.9,0,0,0,0,0,281.6,23.5,0.9,0,0,0,0,328.1,34.9,46.6,9.6
Ethiopia,Measles,235.1,186.8,74.1,16,16.4,34.5,15.6,17.5,42.9,170.8,126,53.4,45.4,34.9,46.8,13.4,41,17.4,18,4.6,1,3.1,46.5,34,24.6
Fiji,Measles,,,,,,30.6,0,,5.4,,,,0,,0,1.1,0,0,152.7,,42.3,352.1,354.3,20,
Finland,Measles,0.4,0.2,0,0.5,0.7,2.2,2.7,2,0.7,0.4,,0.4,,5,0.9,0.4,0.9,0,0,0.2,0,0,0,0.2,
France,Measles,7.3,1.8,0.2,0.2,3.6,40.1,44.6,7.9,1.2,2.4,4.1,4.2,,234.6,79.6,24.4,9.6,0.6,0.6,0.6,72.7,,85.9,,168.1
French Polynesia,Measles,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,,,,,,12.3,
Gabon,Measles,12.6,469.7,531.9,56.4,3.9,0.9,0.5,498.4,718.5,13.2,16.7,63.8,1.1,1.1,0.6,0,1.9,0,59.7,0,44.3,,81.8,"3,916.50",11.8
Gambia,Measles,2.9,14.1,22,0,,0.4,1.7,0.4,19.7,31.9,0.5,0,0,0,1,0,0,0,0,0,0,75.4,20.8,66.2,230.9
Georgia,Measles,91.9,10.2,3.2,1.3,5.3,"1,031.90",579.5,24.8,3.7,113.7,840.5,"2,066.60",8.1,16.5,5.6,5.9,14.2,11.1,83.6,336.8,"1,688.10",52.9,48.2,8.3,11.6
Germany,Measles,7.6,0.9,0.2,0.1,0.9,6.2,6.5,11.2,3.9,30,5.4,21.9,2.1,19.9,9.6,7.1,11.3,7,28.2,9.5,1.5,9.5,56.7,73.5,
Ghana,Measles,56.5,67.5,11.9,1.6,2.8,40.8,1.1,0.6,1.1,0.8,4.4,11.6,60.3,4.6,25.2,4.1,3.4,0.3,18.2,19.4,2.7,91,592.8,668.2,"1,174.70"
Greece,Measles,3.8,0,0,0,0.3,4.2,213.5,90,0,0.1,0.1,0.3,0.3,3.6,13.4,0.2,0.1,0.2,,11.1,0.1,,0.5,1.1,5.2
Grenada,Measles,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guam,Measles,0,0,,,,0,0,0,0,0,,0,0,6,0,0,0,0,,0,12.2,42.9,,0,0
Guatemala,Measles,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea,Measles,39.1,6.5,29.7,36.8,37.8,349.5,37.9,164.4,26.2,20.7,15.3,4.7,0.5,1,4.3,26,9,0.3,0.4,10.7,1.1,281.5,248,867.5,"1,339.90"
Guinea-Bissau,Measles,0,2.3,101.2,,10.9,30.5,14.6,5.9,0,85.6,0.6,0,0,0,16.6,0,8.1,0.7,0,0,"2,612.70",878.1,231.1,99.9,
Guyana,Measles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haiti,Measles,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.8,119.5
Honduras,Measles,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hungary,Measles,1.9,0.1,0,0,0,2.4,1.4,3.7,0,0,0,0.1,0.2,0.5,0,0.1,0,0,0.1,0.2,0,0,0,2,0.1
Iceland,Measles,5.1,0,0,0,0,25,0,8.7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
India,Measles,12.8,45.3,28.7,4,4,7.5,14.2,8.8,12.8,22.7,20.2,6.4,2.6,26.7,25.3,45.8,36.6,34.6,54.7,31.8,48.8,42.2,36.5,48,36.7
Indonesia,Measles,22.3,64.2,27.6,1.4,1.9,7.2,19.6,33.8,26.3,57.7,50,32.9,61.3,87.8,76.6,85.6,64,82.1,87.3,68.7,128,108.7,65.3,17.5,15.5
Iran (Islamic Republic of),Measles,4.9,7.2,2.6,1.2,0,0.2,2.4,0.6,1,7.4,1.2,2.4,4.2,0.9,6.9,3.4,1.7,1.8,3,0.1,0,169.3,140.5,142.1,178.8
Iraq,Measles,705.7,273.6,0.3,4.6,,92.2,12.1,1,1,38.2,36,19,0.4,0.5,15.8,"1,009",189.6,8.1,16.6,32,329.3,,,162.2,29.7
Ireland,Measles,39.4,0.8,0.4,0,3,13.2,15.6,5.2,9,0.9,7.1,11,23.3,62.2,97.2,36.2,12.7,14.6,20.4,22.9,82.1,146.3,61.9,62.4,
Israel,Measles,,,0,0,0.7,131.6,373.3,5,1,9.9,0.8,6.5,27.7,9.4,3.1,0.7,131.4,77.4,1.3,0.3,17.5,19.1,0.3,3,5.9
Italy,Measles,17.6,0.7,0.3,0.2,1.7,27,44.5,66.9,,2.6,,,6.2,86,6.2,5.9,27.1,5.4,7.5,2.3,10.3,190.2,163.4,,25.4
Jamaica,Measles,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0.7,0,0,0,0,0,0,0,0
Japan,Measles,0.4,,,0,0.1,5.9,2.2,1.5,1.3,0.3,3.6,1.8,1.8,3.4,3.5,5.8,85.9,,4.1,,68.5,64.9,265.2,177.2,177.1
Jordan,Measles,1.2,,40.6,,0,4.5,0,0,0,0,2.3,15,0.4,0,0,0,0.3,6,0.2,4.6,3.6,13.2,3.4,11.1,5.9
Kazakhstan,Measles,"1,366.90",743.3,0.2,0.1,167.8,693.7,30.4,0.1,6.6,29.1,18,4.2,3.2,7.4,0.2,0,1.2,0.8,6.8,"1,009.40",139.1,1.5,1.1,6,15.8
Kenya,Measles,9.3,16.2,32.7,5,11.4,8.6,16.4,1.3,2.7,2,7.7,4.2,,56,2.3,30.1,32.7,39.9,50,4.3,0.6,1.9,23.5,357.5,685.4
Kiribati,Measles,0,,,7.8,0,24.2,0,0,,,0,0,0,0,0,0,0,0,,0,0,,0,0,0
Kosovo (in accordance with UN Security Council resolution 1244 (1999)),Measles,0.6,0.6,0,,,,,,,,,,,,,,,,,,,,,,
Kuwait,Measles,1.4,1.2,1.5,0.7,,2.7,9.7,4.3,2,4.7,15,17.7,8.1,10.2,4.4,,,,,4.5,10.7,,,,3.1
Kyrgyzstan,Measles,"2,001.10",996.1,,0.4,,366.5,158.8,0.8,0,"2,962.20",53.9,0.2,0,39.7,0,0.2,3,7.5,5.1,10.1,1.5,1.2,0.4,3.4,3.2
Lao People's Democratic Republic,Measles,0.1,0.3,0,0.3,18.8,154.6,1.4,0.4,1.2,8.2,50.6,10.7,4.9,17.6,24.2,12.5,28.3,277.1,9.7,50.3,257.9,317.7,368.9,17,61.1
Latvia,Measles,0,0.5,0,0,0,1.6,13,0,0,0,18.1,0,1.5,0.5,0,0,1.4,0,3.2,0.9,0,,,0.4,0
Lebanon,Measles,12.7,59.9,,,2.6,180.7,157.8,20.5,7,6,17.6,306.6,1.7,1.8,2.4,4.4,4.9,77,201.2,132.3,46.3,116.2,8.1,1.8,1.2
Lesotho,Measles,0.9,7.4,1.3,162.7,17.4,210,3.2,0,0,0,0,250.9,88,85.4,"1,246.30",0,0,1,0.5,,15.7,0.5,0,108.5,329.4
Liberia,Measles,187.6,838.2,"1,544.70",47.5,171.7,238.5,764.7,198,165.9,227.5,7.4,0,9.8,66.1,542,1.5,0.3,0.3,5.7,2.4,1.3,45.5,42.3,457.3,"2,041.20"
Libya,Measles,28,35.2,4.4,,,27,158,1.2,4.8,12.6,57.9,,51.8,,,51.7,1.3,9.7,0.2,49.8,483,,706.2,117.1,
Lithuania,Measles,10.5,1.1,0,0,0.7,298.4,10.7,0.7,7.7,17.2,3.8,11.8,0,2.3,0.6,0,0.3,0,0.3,0.3,0.3,0.3,29.9,2,5.4
Luxembourg,Measles,4.5,0,0,0,0,38.7,6.6,6.7,0,0,,0,3.8,11.6,0,0,2,0,16.9,,0,2.2,,,0
Madagascar,Measles,3.3,11.4,2.6,1.5,26.8,"7,556.10",779.1,0.4,0.2,0.1,0.1,0.2,0.1,0,0,0,0.1,0,0.1,,"1,911","3,443.60",615.1,549.3,"2,134.60"
Malawi,Measles,44.2,8.2,1.4,0.2,3.9,0.9,0.1,0.2,0,0,0.2,0.1,0.7,1.7,"8,006.80",1.5,1.4,10.5,0.1,14.3,89.3,13.7,7.7,12.9,26.9
Malaysia,Measles,106.6,57,6,3.7,14.1,32.2,60.2,52.8,49.4,42.2,7.2,6.5,63,53.8,2.5,5.4,12.1,14.6,21.3,54.5,226.8,25.6,16.9,93.4,269.4
Maldives,Measles,3.8,9.5,0,0,29.9,0,2.1,2.2,0,0,0,0,0,0,0,17.2,0,61.6,149.8,"4,552.40",122.8,253,"3,175.40",0,70.9
Mali,Measles,15,15.3,33.2,92.6,22.9,21.5,24.4,1.3,5.6,11.6,16.1,12.7,20.1,1.5,107.8,190.4,6.6,0.1,9.1,2.4,13.1,18.3,58.3,374.7,136.5
Malta,Measles,18.5,0,0,1.9,3.9,59.5,12.4,0,0,4.5,0,,,7.1,0,2.4,2.4,4.8,2.4,14.5,9.7,9.8,17.3,5,5
Marshall Islands,Measles,0,0,,0,,,,,,,,,0,0,0,0,,0,0,0,0,"21,824.60",0,0,0
Mauritania,Measles,214.1,67.5,19.7,52.6,0,43.9,17.8,15,3.2,0.3,3.6,16.6,9.7,66.8,381,98,1.3,3.6,7.3,43.2,"1,756.60","1,288.70",322.4,521.9,
Mauritius,Measles,0,0,0,0,,76.2,,0,0,,0,0,0,1.6,9.4,11.7,9.4,10.2,2.4,5.6,22.4,625.6,,0,0
Mexico,Measles,0.1,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.1,0.6,0.4,0,0,0.3
Micronesia (Federated States of),Measles,,8.9,8.9,,,0,0,0,0,0,"1,291.60",0,0,0,,0,,0,0,0,0,0,,0,0
Monaco,Measles,51.8,0,,0,,26.2,0,26.5,,,,,144,,,,,,,,,0,,,
Mongolia,Measles,3.5,0,13.6,,0,0.6,0.3,2.9,"9,955.60","6,839.90",0,0,0,0,2.6,3,11.8,4.6,10.1,0,0,7.1,482,"4,309.20",376.8
Montenegro,Measles,54.8,0,0,0,0,0,324.8,0,0,,,0,0,7.9,7.9,0,0,0,0,,,,,,
Montserrat,Measles,0,0,0,0,,0,0,0,,,,,,,,,,,,,,,0,0,
Morocco,Measles,,,,,,,13.5,,,0.5,0.3,2.7,20,29.8,19.5,26,46,72.1,39.5,,213.6,366.6,205.5,94.5,259.2
